"Actores","Director","Genero","Descripcion","Anho","Titulo"
"Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Michael Rapaport",,"Comedy, Drama","Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","11 Aug 2017","Atypical"
"Michael Sadler, Dylan Minnette, Christian Navarro, Alisha Boe",,"Drama, Mystery","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","31 Mar 2017","13 Reasons Why"
"Christine Baranski, Rose Leslie, Cush Jumbo, Delroy Lindo",,"Crime, Drama","When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.","19 Feb 2017","The Good Fight"
,,"Documentary, Crime","Ride along for an uncompromising look at the lives of those who sell, use and wage a war on drugs in the U.S. and Mexico.","22 Dec 2017","Dope"
"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore",,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as 'The Punisher,' with only one goal in mind: to avenge them.","17 Nov 2017","The Punisher"
"Kim Coates, Louis Ferreira, Sharon Taylor, Melanie Scrofano",,"Crime, Drama","A dramatization of the life and death of Montreal mob boss Vito Rizzuto.","21 Sep 2017","Bad Blood"
"Samantha Colley, Seth Gabel, Antonio Banderas, Clémence Poésy",,"Biography, Drama, History","The life stories of history's greatest minds. From their days as young adults to their final years we see their discoveries, loves, relationships, causes, flaws and genius.","25 Apr 2017","Genius"
"Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever",,"Drama, Western","In the 1880s American West murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle, New Mexico - a town inhabited, after a mining disaster, almost entirely by women.","22 Nov 2017","Godless"
"Claire Foy, Olivia Colman, Matt Smith, Tobias Menzies",,"Drama, History","Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","04 Nov 2016","The Crown"
"Dominic Cooper, Joseph Gilgun, Ruth Negga, Ian Colletti",,"Adventure, Drama, Fantasy, Horror, Mystery","After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God.","22 May 2016","Preacher"
"Tom Ellis, Lauren German, Kevin Alejandro, Lesley-Ann Brandt",,"Crime, Drama, Fantasy","Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","25 Jan 2016","Lucifer"
"Ryan Phillippe, Shantel VanSanten, Cynthia Addai-Robinson, Omar Epps",,"Action, Drama","A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.","15 Nov 2016","Shooter"
"Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi",,"Biography, Crime, Drama","An anthology series centered around America's most notorious crimes and criminals.","02 Feb 2016","American Crime Story"
"James Franco, Sarah Gadon, George MacKay, Chris Cooper",,"Drama, Mystery, Sci-Fi, Thriller","A high school teacher travels back in time to prevent John F. Kennedy's assassination.","15 Feb 2016","11.22.63"
"Giovanni Ribisi, Marin Ireland, Shane McRae, Libe Barer",,"Crime, Drama","A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate, Pete, reuniting with his estranged family, that threatens to drag him into a world just as dangerous as the one he's escaping.","07 Aug 2015","Sneaky Pete"
"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss",,"Action, Crime, Drama, Sci-Fi, Thriller","Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","20 Nov 2015","Jessica Jones"
"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",,"Biography, Crime, Drama, Thriller","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","28 Aug 2015","Narcos"
"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",,"Action, Adventure, Drama, Sci-Fi","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.","07 Oct 2014","The Flash"
"Omari Hardwick, Lela Loren, Naturi Naughton, Joseph Sikora",,"Crime, Drama","James 'Ghost' St. Patrick, a wealthy New York night club owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin.",,"Power"
"Thomas Middleditch, Josh Brener, Martin Starr, Kumail Nanjiani",,"Comedy","Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","06 Apr 2014","Silicon Valley"
